City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,12.65,78,0,4.12,US,1714871297
1,port-aux-francais,-49.35,70.2167,3.47,61,100,8.53,TF,1714871347
2,isafjordur,66.0755,-23.124,2.2,76,55,2.26,IS,1714871347
3,margaret river,-33.95,115.0667,16.85,73,0,4.5,AU,1714871347
4,longyearbyen,78.2186,15.6401,-5.09,74,75,2.06,SJ,1714871347
5,suizhou,31.7111,113.3631,17.31,71,100,2.36,CN,1714871347
6,broken hill,-31.95,141.4333,15.69,67,26,7.31,AU,1714871347
7,opuwo,-18.0607,13.84,18.48,38,0,3.98,NA,1714871348
8,invercargill,-46.4,168.35,12.23,78,65,3.58,NZ,1714871125
9,aqadyr,48.2553,72.8483,12.36,54,100,4.66,KZ,1714871348
10,puerto natales,-51.7236,-72.4875,0.43,81,63,3.3,CL,1714871348
11,khandyga,62.6667,135.6,2.47,95,100,0.62,RU,1714871348
12,saskatoon,52.1168,-106.6345,9.99,57,75,1.54,CA,1714870897
13,blackmans bay,-43.0167,147.3167,13.18,71,0,0.89,AU,1714871348
14,revda,56.801,59.9303,-6.37,95,83,3.55,RU,1714871348
15,kavaratti,10.5669,72.642,29.07,69,100,2.98,IN,1714871349
16,udachny,66.4167,112.4,0.8,99,100,3.38,RU,1714871349
17,mount isa,-20.7333,139.5,25.87,34,60,6.17,AU,1714871349
18,grytviken,-54.2811,-36.5092,0.26,78,50,4.97,GS,1714871349
19,ribeira grande,38.5167,-28.7,17.1,94,100,3.58,PT,1714871349
20,adamstown,-25.066,-130.1015,21.06,64,72,8.79,PN,1714871350
21,feijo,-8.1642,-70.3536,24.27,99,100,0.84,BR,1714871350
22,xiaoweizhai,26.1903,107.5125,18.0,77,48,1.2,CN,1714871120
23,albany,42.6001,-73.9662,16.6,64,98,1.34,US,1714871315
24,yellowknife,62.456,-114.3525,9.12,68,0,4.02,CA,1714871350
25,scone,56.4194,-3.4051,11.83,85,100,1.87,GB,1714871350
26,olonkinbyen,70.9221,-8.7187,-1.43,99,100,6.96,SJ,1714871350
27,alenquer,-1.9417,-54.7383,25.38,95,100,1.5,BR,1714871351
28,ushuaia,-54.8,-68.3,1.45,97,100,3.26,AR,1714871347
29,st. john's,47.5649,-52.7093,2.76,95,100,7.15,CA,1714871214
30,isabela,6.7085,121.9711,30.03,64,100,1.26,PH,1714871148
31,talnakh,69.4865,88.3972,-12.66,94,76,2.99,RU,1714871351
32,alofi,-19.0595,-169.9187,30.94,70,40,4.63,NU,1714871351
33,lebu,-37.6167,-73.65,10.77,85,100,4.68,CL,1714871351
34,hamilton,39.1834,-84.5333,22.05,89,100,0.0,US,1714871103
35,bilibino,68.0546,166.4372,-0.05,70,12,1.4,RU,1714871352
36,kimbe,-5.5502,150.1429,30.65,71,97,2.14,PG,1714871352
37,tazovsky,67.4667,78.7,-8.81,91,100,6.13,RU,1714871352
38,west island,-12.1568,96.8225,24.99,94,75,8.23,CC,1714871352
39,edinburgh of the seven seas,-37.0676,-12.3116,14.34,75,25,14.33,SH,1714871352
40,lillehammer,61.1146,10.4674,7.22,83,8,1.55,NO,1714871352
41,plyeshchanitsy,54.4222,27.8331,9.53,97,20,2.4,BY,1714871352
42,xilin hot,43.9667,116.0333,14.19,30,88,6.96,CN,1714871122
43,bredasdorp,-34.5322,20.0403,12.42,83,11,1.73,ZA,1714871353
44,papatowai,-46.5619,169.4708,11.23,69,42,5.37,NZ,1714871353
45,waitangi,-43.9535,-176.5597,12.68,85,100,2.68,NZ,1714871353
46,mgandu,-5.95,34.1333,14.08,94,91,2.61,TZ,1714871353
47,khorugh,37.4897,71.553,3.95,79,73,1.15,TJ,1714871353
48,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,78,100,3.58,RU,1714871353
49,hasaki,35.7333,140.8333,25.22,65,0,7.73,JP,1714871354
50,kosh-agach,50.0,88.6667,5.17,57,82,0.89,RU,1714871354
51,lihue,21.9789,-159.3672,27.58,79,40,7.2,US,1714871354
52,sikonge,-5.6333,32.7667,16.96,87,100,1.78,TZ,1714871354
53,nova sintra,14.8667,-24.7167,23.34,78,2,9.69,CV,1714871354
54,kodiak,57.79,-152.4072,7.73,71,75,5.14,US,1714871354
55,richmond,37.5538,-77.4603,15.51,95,100,2.06,US,1714870576
56,auki,-8.7676,160.7034,30.67,64,88,1.67,SB,1714871355
57,ust-nera,64.5667,143.2,1.56,80,85,1.29,RU,1714871355
58,saint-pierre,-21.3393,55.4781,21.82,78,75,5.66,RE,1714871207
59,cadale,2.7603,46.3222,28.24,79,100,5.09,SO,1714871251
60,ndjole,-0.1783,10.7649,24.73,99,26,1.03,GA,1714871356
61,zouerate,22.7187,-12.4521,26.88,9,0,3.6,MR,1714871356
62,stanley,54.868,-1.6985,9.04,92,75,0.51,GB,1714871234
63,georgetown,5.4112,100.3354,28.96,84,20,1.03,MY,1714871288
64,brandon,27.9378,-82.2859,27.18,80,100,3.6,US,1714871312
65,qarqaraly,49.4058,75.4742,12.16,62,100,1.99,KZ,1714871356
66,playa del ingles,27.7567,-15.5787,18.86,71,65,3.02,ES,1714871356
